SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Tmps1,Batupasir Kepongan,Kepongan Sandstone,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: transitional,
Tmt2,Formasi Tawun,Tawun Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmt3,Formasi Tuban,Tuban Formation,Sediment: clastic: fine: siltstone,Sedimentation: littoral,Sedimentation: littoral,
Tmtl1,Anggota Bawah,Tuban Formation,Sediment: clastic: fine: mudstone,Sedimentation: littoral,Sedimentation: littoral,
Tmw2,Formasi Waturondo,Waturondo Formation,Extrusive: intermediate: polymict,Volcanism: submarine,Volcanism: submarine,
Toc,Formasi Cangkaraman,Cangkaraman Formation,Sediment: clastic: fine: marl,Sedimentation: neritic,Sedimentation: neritic,
Tomb,Formasi Batuampar,Batuampar Formation,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Tomb1,Formasi Batuampar,Batuampar Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tomkm,Anggota Napal,Kujang Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Toml1,Batugamping Gelam,Gelam Limestone,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tomm1,Anggota tengah,Kujung Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tomm4,Formasi Merubetiri,Merubetiri Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tomp,Anggota Batugamping Prupuh,Kunjung Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Toms,Formasi Sukamade,Sukamade Formation,Sediment: clastic: fine: claystone,Sedimentation: neritic,Sedimentation: neritic,
Tomt,Anggota tufa,Mandalika Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tomt2,Formasi Tembayangan,Tembayangan Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: transitional,
Tomu,Anggota Atas Formasi Kunjung,Kunjung Formation Upper Member,Sediment: clastic: medium: flysch,Sedimentation: littoral,Sedimentation: littoral,
Tpk2,Formasi Klitik,Klitik Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tpl1,Formasi Leprak,Leprak Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
